household_ID,Consumption
ID0735,28.24
ID0736,NA
ID0737,77.68
ID0738,160.32
ID0739,143.64
ID0740,11.92
ID0741,NA
ID0742,62.92
ID0743,29.2
ID0744,132.24
ID0745,91.08
ID0746,42.48
ID0747,159.04
ID0748,136.72
ID0749,88.92
ID0750,115.16
ID0751,295.88
ID0752,115.68
ID0753,216.52
ID0754,99.96
ID0755,96.48
ID0756,120.72
ID0757,79.72
ID0758,80.84
ID0759,65.16
ID0760,20.4
ID0761,219.76
ID0762,138.56
ID0763,85.04
ID0764,121.8
ID0765,172.32
ID0766,104.72
ID0767,61.84
ID0768,112.72
ID0769,288.08
ID0770,92.2
ID0771,141.88
ID0772,371.68
ID0773,166.2
ID0774,213.04
ID0775,297.04
ID0776,23.72
ID0777,194.96
ID0778,44.04
ID0779,100.4
ID0780,132.56
ID0781,432.2
ID0782,103.36
ID0783,0.24
ID0784,1.72
ID0785,67.08
ID0786,60.24
ID0787,61.88
ID0788,40.6
ID0789,136.4
ID0790,5.84
ID0791,95.36
ID0792,179.08
ID0793,233.48
ID0794,45.72
ID0795,61
ID0796,405.36
ID0797,92.52
ID0798,293.96
ID0799,95.16
ID0800,214.8
ID0801,18.12
ID0802,135.2
ID0803,120.52
ID0804,12
ID0805,37.08
ID0806,255.92
ID0807,79.76
ID0808,119.88
ID0809,86.92
ID0810,75.04
ID0811,129.72
ID0812,47.96
ID0813,154.92
ID0814,143.64
ID0815,102.64
ID0816,75.96
ID0817,86.12
ID0818,26.64
ID0819,136.24
ID0820,96.52
ID0821,60.92
ID0822,225.96
ID0823,119.12
ID0824,58.52
ID0825,90.04
ID0826,113.76
ID0827,81.96
ID0828,162.92
ID0829,56.12
ID0830,211.2
ID0831,39.88
ID0832,149.88
ID0833,378.08
ID0834,114.32
ID0835,46.12
ID0836,85.24
ID0837,68.48
ID0838,34.28
ID0839,75.44
ID0840,235.4
ID0841,NA
ID0842,36
ID0843,306.28
ID0844,249.96
ID0845,108.4
ID0846,136.84
ID0847,100.4
ID0848,83.84
ID0849,162.96
ID0850,146.36
ID0851,69.92
ID0852,115.76
ID0853,142.44
ID0854,32.16
ID0855,83.28
ID0856,0.12
ID0857,169.56
ID0858,79.16
ID0859,127.88
ID0860,88.88
ID0861,86.88
ID0862,103.76
ID0863,88.48
ID0864,155.76
ID0865,184.48
ID0866,26.64
ID0867,126.8
ID0868,198.32
ID0869,45.96
ID0870,NA
ID0871,39.08
ID0872,92.28
ID0873,NA
ID0874,0.04
ID0875,49.52
ID0876,58.44
ID0877,231.48
ID0878,80.8
ID0879,61.04
ID0880,54
ID0881,99.24
ID0882,195.88
ID0883,93.84
ID0884,89.16
ID0885,72.28
ID0886,186.44
ID0887,176.88
ID0888,127.6
ID0889,61.84
ID0890,52.48
ID0891,2.28
ID0892,142.08
ID0893,163.52
ID0894,84.44
ID0895,147.2
ID0896,40.08
ID0897,759.04
ID0898,53.76
ID0899,333.76
ID0900,80.8
ID0901,270.16
ID0902,159
ID0903,0.96
ID0904,86
ID0905,95.6
ID0906,134.44
ID0907,285.84
ID0908,163.88
ID0909,84.92
ID0910,39.16
ID0911,95.12
ID0912,201.56
ID0913,105.12
ID0914,43.76
ID0915,51.24
ID0916,214.92
ID0917,234.36
ID0918,32.76
ID0919,124.72
ID0920,NA
ID0921,56
ID0922,118.72
ID0923,153.68
ID0924,78.76
ID0925,105.84
ID0926,NA
ID0927,111.28
ID0928,129.96
ID0929,159.4
ID0930,107.76
ID0931,128.4
ID0932,79.28
ID0933,81.24
ID0934,154.04
ID0935,121.04
ID0936,121.68
ID0937,141.48
ID0938,147.88
ID0939,313.04
ID0940,166.64
ID0941,74.16
ID0942,104.52
ID0943,116
ID0944,259.76
ID0945,81.2
ID0946,38.44
ID0947,24.2
ID0948,115.48
ID0949,71.04
ID0950,84.84
ID0951,216.92
ID0952,117.48
ID0953,118.12
ID0954,NA
ID0955,120.36
ID0956,129.68
ID0957,169.64
ID0958,127.96
ID0959,134.72
ID0960,51.84
ID0961,155.24
ID0962,92.52
ID0963,76.88
ID0964,116.44
ID0965,325.84
ID0966,136.68
ID0967,75.04
ID0968,105.16
ID0969,133.84
ID0970,59.08
ID0971,92.68
ID0972,93.76
ID0973,160.4
ID0974,81.12
ID0975,1227.72
ID0976,224
ID0977,134.88
ID0978,79.76
ID0979,103.52
ID0980,281.88
ID0981,132.96
ID0982,554.48
ID0983,342.68
ID0984,105.52
ID0985,186.12
ID0986,249.08
ID0987,325
ID0988,84.48
ID0989,44.04
ID0990,77.52
ID0991,62.92
ID0992,50.92
ID0993,93.56
ID0994,147.48
ID0995,54.44
ID0996,40.28
ID0997,73.88
ID0998,60.04
ID0999,79.28
ID1000,58.72
ID1001,NA
ID1002,80
ID1003,139
ID1004,22.64
ID1005,81.72
ID1006,101.08
ID1007,113.28
ID1008,102.84
ID1009,206.28
ID1010,83.08
ID1011,95.4
ID1012,53.72
ID1013,140.88
ID1014,25.64
ID1015,75.92
ID1016,110.12
ID1017,126.2
ID1018,66.4
ID1019,84.84
ID1020,55.8
ID1021,42.64
ID1022,67.68
ID1023,86.36
ID1024,121.52
ID1025,147.92
ID1026,61.44
ID1027,111.12
ID1028,204.68
ID1029,85.92
ID1030,146.64
ID1031,125.68
ID1032,78.36
ID1033,58.08
ID1034,100.12
ID1035,38.16
ID1036,97.6
ID1037,85.28
ID1038,96.72
ID1039,169.64
ID1040,155.88
ID1041,76
ID1042,NA
ID1043,176.68
ID1044,102.48
ID1045,9.24
ID1046,200.92
ID1047,75
ID1048,57.04
ID1049,89.6
ID1050,100.16
ID1051,360.52
ID1052,90.8
ID1053,152.36
ID1054,NA
ID1055,86.28
ID1056,NA
ID1057,159.88
ID1058,105.68
ID1059,101.48
ID1060,35.36
ID1061,53.76
ID1062,100.92
ID1063,34.36
ID1064,NA
ID1065,146.44
ID1066,122.16
ID1067,129.4
ID1068,77.52
ID1069,66.12
ID1070,96.88
ID1071,206.48
ID1072,89.04
ID1073,91.92
ID1074,NA
ID1075,47.68
ID1076,68.24
ID1077,87.84
ID1078,174.92
ID1079,362.28
ID1080,110.52
ID1081,101.64
ID1082,NA
ID1083,116.84
ID1084,263.28
ID1085,58.64
ID1086,NA
ID1087,101.88
ID1088,NA
ID1089,208.76
ID1090,66.56
ID1091,122
ID1092,98.16
ID1093,75.2
ID1094,383.72
ID1095,56.8
ID1096,125.6
ID1097,NA
ID1098,NA
ID1099,22.08
ID1100,128.4
ID1101,251.48
ID1102,143.2
ID1103,125.96
ID1104,58.68
ID1105,79.4
ID1106,94.8
ID1107,79.92
ID1108,249.64
ID1109,27.36
ID1110,178.64
ID1111,231.12
ID1112,43.16
ID1113,59.88
ID1114,235.88
ID1115,139.52
ID1116,53
ID1117,NA
ID1118,59.28
ID1119,63.96
ID1120,33.12
ID1121,188.8
ID1122,113.76
ID1123,93.76
ID1124,121.84
ID1125,65.04
ID1126,254.92
ID1127,NA
ID1128,169.72
ID1129,41.32
ID1130,84.96
ID1131,129
ID1132,901.68
ID1133,73.4
ID1134,135.28
ID1135,62.48
ID1136,85
ID1137,NA
ID1138,102.68
ID1139,NA
ID1140,85.32
ID1141,142.08
ID1142,NA
ID1143,104.24
ID1144,140.52
ID1145,104.76
ID1146,80.92
ID1147,122.76
ID1148,460.4
ID1149,100.28
ID1150,122
ID1151,120.96
ID1152,51.36
ID1153,79.28
ID1154,32.68
ID1155,54.72
ID1156,156.88
ID1157,63.16
ID1158,77.2
ID1159,388.92
ID1160,68.84
ID1161,95.72
ID1162,NA
ID1163,376.56
ID1164,154.44
ID1165,1015.56
ID1166,84.04
ID1167,113.2
ID1168,102.16
