household_ID,Consumption,Unnamed: 2
ID2176,36.18446513,
ID2179,40.55478723,
ID2180,13.15929261,
ID2184,38.1619998,
ID2185,22.84797744,
ID2187,9.020419572,
ID2188,7.362550757,
ID2189,32.88782109,
ID2190,11.38645964,
ID2193,57.38753879,
ID2194,141.405208,
ID2201,42.36246957,
ID2203,3.123620383,
ID2206,9.313572287,
ID2211,28.14365152,
ID2212,10.49276352,
ID2218,25.50874005,
ID2220,61.63317537,
ID2221,215.7140375,
ID2223,19.1831657,
ID2224,18.64708361,
ID2225,25.04408875,
ID2226,24.9332393,
ID2227,16.76391343,
ID2231,24.58602047,
ID2232,5.86870603,
ID2233,20.90060548,
ID2235,27.2248008,
ID2236,15.55867664,
ID2241,19.47224067,
ID2244,25.71780045,
ID2246,36.74432807,
ID2253,25.99225964,
ID2254,23.50818471,
ID2255,20.1044764,
ID2256,0.060595876,
ID2263,24.80462883,
ID2264,10.33876705,
ID2265,35.00478809,
ID2271,9.918499375,
ID2272,1.637480816,
ID2273,50.15055666,
ID2274,20.55615715,
ID2276,25.51125266,
ID2278,27.63980442,
ID2282,8.128577956,
ID2285,54.75233499,
ID2286,24.09217776,
ID2288,43.68154746,
ID2289,51.0426248,
ID2294,21.29691659,
ID2295,9.606437737,
ID2299,6.681797607,
ID2300,26.37046935,
ID2302,19.06489567,
ID2303,22.66528138,
ID2304,11.90680851,
ID2305,1.396619445,
ID2309,15.9478326,
ID2310,38.1923227,
ID2312,102.6947794,
ID2313,30.81249844,
ID2315,5.870966709,
ID2319,29.73017724,
ID2320,13.24942483,
ID2323,49.92248882,
ID2326,6.280615549,
ID2327,11.51668681,
ID2334,11.66100329,
ID2335,72.40289813,
ID2336,1.601315685,
ID2338,43.0717609,
ID2339,9.932796389,
ID2340,6.811342902,
ID2342,49.84847119,
ID2343,16.0593327,
ID2344,31.92257011,
ID2345,3.117967655,
ID2346,32.63321388,
ID2353,20.37966829,
ID2354,29.54319683,
ID2356,44.69889106,
ID2358,21.5646933,
ID2360,19.20350343,
ID2364,19.09242638,
ID2371,12.41447533,
ID2372,48.21185549,
ID2373,0.364685601,
ID2374,15.69286472,
ID2375,23.13970843,
ID2376,29.26121362,
ID2378,24.40540115,
ID2381,24.20384568,
ID2383,23.02857821,
ID2384,32.62161194,
ID2387,34.22541781,
ID2388,24.47295291,
ID2390,11.57517204,
ID2391,32.01581958,
ID2392,10.40765646,
ID2394,42.18661094,
ID2398,49.38008381,
ID2399,9.318680577,
ID2403,8.4111117,
ID2404,23.213869,
ID2405,21.50780988,
ID2406,26.83484202,
ID2407,26.91174699,
ID2408,18.66067169,
ID2410,27.50223609,
ID2413,23.02325096,
ID2418,32.97462937,
ID2420,50.44918278,
ID2422,131.9514537,
ID2425,19.49760214,
ID2428,22.27771909,
ID2429,19.45825175,
ID2433,44.87255399,
ID2440,20.92495228,
ID2453,14.50517684,
ID2455,17.89175806,
ID2459,29.4441415,
ID2461,9.237304128,
ID2462,59.3666376,
ID2469,19.00213126,
ID2472,8.892310508,
ID2473,28.39695306,
ID2475,6.504660318,
ID2476,21.79322724,
ID2479,9.452792399,
ID2483,36.13275046,
ID2486,92.1783499,
ID2489,13.12910783,
ID2491,15.54015669,
ID2492,9.482430588,
ID2497,29.48114127,
ID2498,13.99175807,
ID2500,10.10982621,
ID2501,11.81562733,
ID2505,32.46134285,
ID2508,19.10887348,
ID2509,9.53841046,
ID2510,15.58505293,
ID2513,24.08931109,
ID2514,26.57101616,
ID2516,7.783980008,
ID2517,39.77079313,
ID2518,27.50546145,
ID2519,16.4914896,
ID2520,31.65933386,
ID2521,6.941809184,
ID2522,18.02069958,
ID2524,62.811349,
ID2525,16.23499754,
ID2534,0.001638215,
ID2539,23.54229155,
ID2541,18.61514591,
ID2544,15.43595348,
ID2547,7.673998942,
ID2551,16.3278065,
ID2556,17.64796782,
ID2557,21.15072823,
ID2558,29.6680627,
ID2559,34.31676982,
ID2564,27.57182564,
ID2566,46.80091684,
ID2567,20.35301748,
ID2568,45.26443223,
ID2569,21.36250934,
ID2570,8.096003328,
ID2571,20.96825408,
ID2573,63.31599852,
ID2576,21.42445445,
ID2577,36.39236709,
ID2580,19.71251724,
ID2581,29.4102276,
ID2584,138.761549,
ID2588,50.74031148,
ID2590,27.74965341,
ID2591,2.119367478,
ID2593,25.5022559,
ID2597,20.81874167,
ID2599,33.01448674,
ID2603,23.00333555,
ID2604,60.37773396,
ID2610,36.539328,
ID2613,33.24170986,
ID2615,12.78556955,
ID2616,165.2062652,
ID2617,10.31186588,
ID2620,60.9191609,
ID2621,68.09167963,
ID2624,13.84529576,
ID2626,9.991393169,
ID2627,17.84431272,
ID2630,33.26470854,
ID2632,56.12369616,
ID2636,56.88848485,
ID2645,23.38137886,
ID2646,11.19550209,
ID2647,16.90353754,
ID2649,36.05607991,
ID2650,37.33165763,
ID2653,18.86067308,
ID2654,25.31088214,
ID2656,15.03433919,
ID2658,8.256696303,
ID2659,12.92221199,
ID2660,116.1644085,
ID2664,2.712772838,
ID2677,20.50897507,
ID2678,29.61709195,
ID2683,23.1563154,
ID2684,14.14945275,
ID2687,24.22476715,
ID2695,14.47015602,
ID2696,47.32742061,
ID2697,7.861247971,
ID2698,27.25070402,
ID2705,12.06301909,
ID2708,30.53276051,
ID2709,36.59627262,
ID2710,44.67485441,
ID2711,17.86698215,
