household_ID,SumOfAppliances
ID0531,289.79
ID0532,9.0
ID0533,215.75
ID0534,176.0
ID0535,178.1
ID0536,211.5
ID0537,242.5
ID0538,243.0
ID0539,268.25
ID0540,0.25
ID0541,239.66
ID0542,178.0
ID0543,212.85
ID0544,181.813
ID0545,255.95
ID0546,369.5
ID0547,215.575
ID0548,175.0
ID0549,201.5
ID0550,298.74
ID0551,183.57
ID0552,28.81
ID0553,220.1
ID0554,358.52
ID0555,207.05
ID0556,0.0
ID0557,189.81
ID0558,218.146
ID0559,243.0
ID0560,240.0
ID0561,260.3
ID0562,0.0
ID0563,199.62
ID0564,282.75
ID0565,177.0
ID0566,158.31
ID0567,171.5
ID0568,383.25
ID0569,196.5
ID0570,267.56
ID0571,173.25
ID0572,214.0
ID0573,258.25
ID0574,242.75
ID0575,5.5
ID0576,218.45
ID0577,257.8
ID0578,232.0
ID0579,200.75
ID0580,205.14
ID0581,102.5
ID0582,2.75
ID0583,0.0
ID0584,169.0
ID0585,196.83
ID0586,253.525
ID0587,94.7
ID0588,179.46
ID0589,210.35
ID0590,443.33
ID0591,200.0
ID0592,244.0
ID0593,35.0
ID0594,35.0
ID0595,163.75
ID0596,199.32
ID0597,217.0
ID0598,13.3
ID0599,22.0
ID0600,175.57
ID0601,185.5
ID0602,182.0
ID0603,3.0
ID0604,184.5
ID0605,102.75
ID0606,168.0
ID0607,192.0
ID0608,171.75
ID0609,224.25
ID0610,239.35
ID0611,182.36
ID0612,230.2
ID0613,289.5
ID0614,166.0
ID0615,198.5
ID0616,2.0
ID0617,35.0
ID0618,278.82
ID0619,168.66
ID0620,169.75
ID0621,247.33
ID0622,179.3
ID0623,177.25
ID0624,178.08
ID0625,493.15
ID0626,292.0
ID0627,207.0
ID0628,169.6
ID0629,206.55
ID0630,283.1
ID0631,533.0
ID0632,170.0
ID0633,257.15
ID0634,167.25
ID0635,172.25
ID0636,172.08
ID0637,184.5
ID0638,216.0
ID0639,0.0
ID0640,174.5
ID0641,216.5
ID0642,26.25
ID0643,185.3
ID0644,28.5
ID0645,171.24
ID0646,213.83
ID0647,22.0
ID0648,136.25
ID0649,190.58
ID0650,0.0
ID0651,3.75
ID0652,172.5
ID0653,95.25
ID0654,273.5
ID0655,35.99
ID0656,176.66
ID0657,170.45
ID0658,187.57
ID0659,206.8
ID0660,24.25
ID0661,188.53
ID0662,173.0
ID0663,168.0
ID0664,226.81
ID0665,9.25
ID0666,271.08
ID0667,29.5
ID0668,220.88
ID0669,178.55
ID0670,84.0
ID0671,498.5
ID0672,212.86
ID0673,11.75
ID0674,38.1
ID0675,205.05
ID0676,209.0
ID0677,21.0
ID0678,288.5
ID0679,200.1
ID0680,201.25
ID0681,178.82
ID0682,173.5
ID0683,78.0
ID0684,183.06
ID0685,186.56
ID0686,261.5
ID0687,162.23
ID0688,3.5
ID0689,180.0
ID0690,169.0
ID0691,77.525
ID0692,187.0
ID0693,246.5
ID0694,200.75
ID0695,37.25
ID0696,208.05
ID0697,1.066
ID0698,207.07
ID0699,113.0
ID0700,173.0
ID0701,305.0
ID0702,75.0
ID0703,11.5
ID0704,184.0
ID0705,0.33
ID0706,61.413
ID0707,190.12
ID0708,197.5
ID0709,271.51
ID0710,186.47
ID0711,257.06
ID0712,29.3
ID0713,360.8
ID0714,233.12
ID0715,113.0
ID0716,208.0
ID0717,191.0
ID0718,7.0
ID0719,181.5
ID0720,119.0
ID0721,173.0
ID0722,4.0
ID0723,196.25
ID0724,0.25
ID0725,140.0
ID0726,195.56
ID0727,2.0
ID0728,174.0
ID0729,198.0
ID0731,42.5
ID0732,417.5
ID0733,416.83
ID0734,202.94
ID0736,237.56
ID0737,0.0
ID0738,220.95
ID0739,14.75
ID0740,187.83
ID0741,270.25
ID0742,168.25
ID0743,197.99
ID0744,174.25
ID0745,213.0
ID0746,206.75
ID0747,274.7
ID0748,223.46
ID0749,76.25
ID0750,192.0
ID0751,197.14
ID0752,234.0
ID0753,199.75
ID0754,169.91
ID0755,168.75
ID0756,172.4
ID0757,183.33
ID0758,190.0
ID0759,18.5
ID0761,234.0
ID0762,212.5
ID0763,240.35
ID0764,169.0
ID0765,177.66
ID0766,192.0
ID0767,173.66
ID0768,257.25
ID0769,285.4
ID0770,181.5
ID0771,193.06
ID0772,541.5
ID0773,188.06
ID0774,186.64
ID0775,219.05
ID0776,17.0
ID0777,251.7
ID0778,145.33
ID0779,174.39
ID0780,222.07
ID0781,128.6
ID0782,218.5
ID0783,15.25
ID0784,6.0
ID0785,203.83
ID0786,201.33
ID0787,207.83
ID0788,180.0
ID0789,192.11
ID0790,21.0
ID0791,201.15
ID0792,7.25
ID0793,94.4
ID0794,4.0
ID0795,0.5
ID0796,202.75
ID0797,507.35
ID0798,518.235
ID0799,211.525
ID0800,218.75
ID0801,25.3
ID0802,213.5
ID0803,395.07
ID0804,186.75
ID0805,5.25
ID0806,197.69
ID0807,173.5
ID0808,71.5
ID0809,191.0
ID0811,214.8
ID0812,83.08
ID0813,124.5
ID0814,213.5
ID0815,212.3
ID0816,240.91
ID0817,90.5
