household_ID,NoOfHoursStay
ID0571,336.0
ID0572,382.0
ID0573,588.0
ID0574,840.0
ID0575,168.0
ID0576,467.0
ID0577,457.0
ID0578,414.0
ID0579,427.0
ID0580,286.0
ID0581,686.0
ID0582,336.0
ID0583,168.0
ID0584,744.0
ID0585,947.0
ID0586,459.0
ID0587,1191.0
ID0588,309.147
ID0589,852.0
ID0590,457.0
ID0591,236.0
ID0592,731.0
ID0593,1128.0
ID0594,1080.0
ID0595,759.5
ID0596,827.0
ID0597,485.0
ID0598,269.0
ID0599,912.0
ID0600,665.0
ID0601,525.0
ID0602,517.0
ID0603,742.0
ID0604,420.0
ID0605,651.0
ID0606,504.0
ID0607,160.0
ID0608,120.0
ID0609,540.0
ID0610,324.0
ID0611,294.0
ID0612,685.0
ID0613,580.0
ID0614,336.0
ID0615,168.0
ID0616,329.0
ID0617,324.0
ID0618,326.0
ID0619,280.0
ID0620,467.0
ID0621,502.0
ID0622,904.0
ID0623,602.0
ID0624,240.0
ID0625,462.0
ID0626,633.0
ID0627,541.0
ID0628,336.0
ID0629,253.0
ID0630,576.0
ID0631,498.0
ID0632,626.0
ID0633,124.0
ID0634,413.0
ID0635,645.0
ID0636,231.0
ID0637,492.0
ID0638,742.0
ID0639,458.0
ID0640,267.0
ID0641,572.0
ID0642,472.0
ID0643,513.0
ID0644,557.0
ID0645,650.0
ID0646,915.0
ID0647,168.0
ID0648,752.0
ID0649,336.0
ID0650,336.0
ID0651,546.0
ID0652,656.0
ID0653,980.0
ID0654,906.0
ID0655,292.0
ID0656,460.0
ID0657,616.0
ID0658,562.0
ID0659,608.0
ID0660,84.0
ID0661,690.0
ID0662,168.0
ID0663,1143.0
ID0664,765.0
ID0665,1.0
ID0666,775.0
ID0667,384.0
ID0668,773.0
ID0669,252.0
ID0670,300.0
ID0671,770.0
ID0672,858.0
ID0673,767.0
ID0674,168.0
ID0675,425.0
ID0676,734.0
ID0677,40.0
ID0678,520.0
ID0679,780.0
ID0680,415.0
ID0681,336.0
ID0682,374.0
ID0683,168.0
ID0684,813.0
ID0685,306.0
ID0686,1176.0
ID0687,1128.0
ID0688,504.0
ID0689,384.0
ID0690,972.0
ID0691,937.0
ID0692,119.0
ID0693,670.0
ID0694,792.0
ID0695,864.0
ID0696,288.0
ID0697,144.0
ID0698,503.0
ID0699,816.0
ID0700,432.0
ID0701,504.0
ID0702,964.0
ID0703,1158.0
ID0704,924.0
ID0705,0.0
ID0706,656.0
ID0707,240.0
